ID	(x,y)	        (larg,haut)	 temps(ms)
0	(457, 381)	(40, 51)	40
1	(13, 318)	(44, 79)	40
2	(742, 294)	(26, 50)	40
3	(564, 281)	(45, 76)	40
4	(266, 260)	(32, 83)	40
5	(455, 203)	(30, 60)	40
6	(137, 197)	(69, 73)	40
7	(586, 189)	(31, 69)	40
8	(301, 181)	(28, 70)	40
9	(104, 175)	(30, 70)	40
10	(579, 128)	(27, 66)	40
11	(283, 96)	(24, 61)	40
12	(227, 81)	(25, 85)	40
13	(466, 51)	(36, 63)	40
14	(319, 31)	(22, 53)	40
15	(436, 17)	(18, 43)	40
16	(506, 3)	(32, 47)	40
17	(630, 0)	(138, 151)	40
18	(657, 28)	(16, 15)	40
19	(554, 0)	(23, 75)	40
20	(340, 0)	(76, 124)	40
21	(313, 0)	(26, 9)	40
22	(288, 0)	(27, 46)	40
23	(0, 0)	(166, 114)	40
24	(102, 28)	(17, 13)	40
0	(457, 377)	(40, 55)	80
1	(14, 320)	(44, 77)	80
2	(741, 290)	(27, 53)	80
3	(561, 281)	(47, 76)	80
4	(268, 256)	(30, 82)	80
5	(455, 200)	(30, 61)	80
6	(137, 196)	(69, 74)	80
7	(587, 191)	(31, 69)	80
8	(302, 178)	(28, 70)	80
9	(102, 176)	(32, 69)	80
10	(580, 129)	(28, 65)	80
11	(283, 93)	(23, 59)	80
12	(227, 81)	(26, 86)	80
13	(467, 49)	(35, 64)	80
14	(319, 30)	(23, 52)	80
15	(436, 18)	(18, 44)	80
16	(506, 2)	(33, 48)	80
17	(631, 0)	(137, 151)	80
18	(657, 27)	(17, 16)	80
19	(554, 0)	(23, 75)	80
20	(340, 0)	(76, 127)	80
21	(288, 0)	(51, 44)	80
23	(0, 0)	(166, 114)	80
0	(457, 375)	(40, 57)	120
1	(15, 320)	(43, 77)	120
2	(741, 289)	(27, 54)	120
3	(560, 281)	(47, 76)	120
4	(268, 254)	(31, 81)	120
5	(455, 199)	(30, 59)	120
6	(137, 196)	(69, 74)	120
7	(587, 192)	(31, 68)	120
8	(302, 177)	(28, 69)	120
9	(102, 177)	(31, 68)	120
10	(581, 130)	(27, 64)	120
11	(284, 92)	(22, 59)	120
12	(227, 82)	(26, 86)	120
13	(467, 49)	(35, 64)	120
25	(371, 41)	(46, 87)	120
14	(319, 30)	(23, 51)	120
15	(436, 19)	(18, 44)	120
16	(506, 2)	(32, 47)	120
17	(631, 0)	(137, 151)	120
18	(657, 23)	(17, 21)	120
19	(554, 0)	(24, 75)	120
26	(340, 0)	(39, 86)	120
21	(288, 0)	(51, 43)	120
23	(0, 0)	(168, 114)	120
27	(103, 27)	(16, 12)	120
0	(457, 373)	(40, 59)	160
1	(15, 321)	(43, 76)	160
2	(741, 288)	(27, 66)	160
3	(559, 282)	(47, 75)	160
4	(269, 252)	(30, 78)	160
5	(455, 197)	(30, 59)	160
6	(137, 196)	(69, 74)	160
7	(588, 193)	(30, 67)	160
9	(101, 178)	(31, 67)	160
8	(303, 175)	(27, 68)	160
10	(582, 130)	(27, 64)	160
11	(284, 91)	(22, 59)	160
12	(228, 82)	(25, 86)	160
13	(467, 48)	(35, 65)	160
25	(371, 42)	(46, 87)	160
15	(436, 19)	(18, 45)	160
16	(506, 2)	(32, 47)	160
17	(631, 0)	(137, 154)	160
18	(658, 27)	(17, 17)	160
19	(554, 0)	(24, 75)	160
14	(319, 0)	(60, 86)	160
21	(288, 0)	(51, 42)	160
23	(0, 0)	(168, 112)	160
27	(103, 27)	(16, 12)	160
0	(457, 370)	(40, 62)	200
1	(16, 321)	(42, 76)	200
2	(741, 286)	(27, 66)	200
3	(558, 282)	(48, 74)	200
4	(269, 250)	(30, 76)	200
5	(455, 196)	(30, 57)	200
6	(137, 196)	(69, 73)	200
7	(588, 194)	(30, 66)	200
9	(101, 178)	(30, 67)	200
8	(303, 174)	(26, 66)	200
10	(582, 131)	(28, 63)	200
11	(285, 90)	(21, 59)	200
12	(228, 83)	(25, 85)	200
13	(467, 47)	(35, 65)	200
25	(370, 42)	(47, 87)	200
15	(436, 20)	(18, 44)	200
16	(506, 2)	(32, 47)	200
17	(631, 0)	(137, 154)	200
19	(554, 0)	(24, 74)	200
14	(319, 0)	(60, 86)	200
21	(288, 0)	(51, 41)	200
23	(0, 0)	(170, 112)	200
27	(103, 27)	(16, 11)	200
0	(457, 368)	(39, 64)	240
1	(16, 322)	(42, 74)	240
2	(741, 284)	(27, 65)	240
2	(754, 318)	(11, 25)	240
3	(558, 282)	(46, 74)	240
4	(269, 248)	(30, 75)	240
5	(455, 195)	(30, 56)	240
6	(137, 195)	(69, 74)	240
7	(588, 194)	(31, 65)	240
9	(100, 179)	(31, 66)	240
8	(303, 172)	(26, 65)	240
10	(583, 132)	(27, 62)	240
11	(285, 89)	(22, 60)	240
12	(228, 84)	(26, 84)	240
13	(467, 47)	(35, 65)	240
15	(436, 21)	(18, 44)	240
16	(506, 2)	(32, 47)	240
17	(631, 0)	(137, 155)	240
28	(658, 23)	(19, 21)	240
19	(554, 0)	(24, 74)	240
29	(319, 0)	(98, 130)	240
21	(287, 0)	(52, 40)	240
23	(0, 0)	(171, 112)	240
0	(457, 365)	(39, 67)	280
1	(16, 322)	(42, 74)	280
3	(557, 282)	(46, 74)	280
2	(741, 281)	(27, 65)	280
2	(754, 317)	(9, 22)	280
4	(270, 246)	(29, 74)	280
7	(589, 195)	(30, 65)	280
6	(137, 195)	(69, 74)	280
5	(455, 194)	(30, 55)	280
9	(100, 180)	(31, 68)	280
8	(303, 171)	(25, 64)	280
10	(583, 133)	(28, 64)	280
11	(285, 89)	(22, 60)	280
12	(228, 84)	(26, 83)	280
13	(467, 47)	(35, 64)	280
15	(437, 21)	(17, 45)	280
16	(506, 2)	(32, 47)	280
17	(631, 0)	(137, 155)	280
19	(554, 0)	(24, 74)	280
29	(320, 0)	(97, 130)	280
21	(287, 0)	(51, 39)	280
23	(0, 0)	(171, 112)	280
0	(457, 361)	(38, 71)	320
1	(17, 323)	(41, 73)	320
3	(556, 283)	(44, 73)	320
30	(740, 263)	(28, 77)	320
4	(270, 243)	(29, 77)	320
